LAUS Code;State FIPS Code;County FIPS Code;County Name/State Abbreviation;Year;Labor Force;Employed;Unemployed;Unemployment Rate (%)
CN0401300000000;04;013;Maricopa County, AZ;2019;2,230,015;2,137,871;92,144;4.1
CN0401500000000;04;015;Mohave County, AZ;2019;84,570;79,675;4,895;5.8
CN0401700000000;04;017;Navajo County, AZ;2019;39,477;36,532;2,945;7.5
CN0401900000000;04;019;Pima County, AZ;2019;482,462;460,801;21,661;4.5
CN0402100000000;04;021;Pinal County, AZ;2019;184,124;174,970;9,154;5.0
CN0402300000000;04;023;Santa Cruz County, AZ;2019;18,998;17,364;1,634;8.6
CN0402500000000;04;025;Yavapai County, AZ;2019;103,311;98,650;4,661;4.5
CN0402700000000;04;027;Yuma County, AZ;2019;97,017;80,867;16,150;16.6
CN0500100000000;05;001;Arkansas County, AR;2019;9,393;9,116;277;2.9
CN0500300000000;05;003;Ashley County, AR;2019;7,637;7,230;407;5.3
CN0500500000000;05;005;Baxter County, AR;2019;16,179;15,540;639;3.9
CN0500700000000;05;007;Benton County, AR;2019;137,897;134,319;3,578;2.6
CN0500900000000;05;009;Boone County, AR;2019;15,921;15,421;500;3.1
CN0501100000000;05;011;Bradley County, AR;2019;4,441;4,260;181;4.1
CN0501300000000;05;013;Calhoun County, AR;2019;2,413;2,309;104;4.3
CN0501500000000;05;015;Carroll County, AR;2019;12,711;12,320;391;3.1
CN0501700000000;05;017;Chicot County, AR;2019;3,225;3,005;220;6.8
CN0501900000000;05;019;Clark County, AR;2019;9,613;9,251;362;3.8
CN0502100000000;05;021;Clay County, AR;2019;5,622;5,351;271;4.8
CN0502300000000;05;023;Cleburne County, AR;2019;9,146;8,739;407;4.5
CN0502500000000;05;025;Cleveland County, AR;2019;3,215;3,091;124;3.9
CN0502700000000;05;027;Columbia County, AR;2019;9,121;8,721;400;4.4
CN0502900000000;05;029;Conway County, AR;2019;8,224;7,874;350;4.3
CN0503100000000;05;031;Craighead County, AR;2019;55,698;54,162;1,536;2.8
CN0503300000000;05;033;Crawford County, AR;2019;26,661;25,787;874;3.3
CN0503500000000;05;035;Crittenden County, AR;2019;21,054;20,167;887;4.2
CN0503700000000;05;037;Cross County, AR;2019;7,339;7,034;305;4.2
CN0503900000000;05;039;Dallas County, AR;2019;2,802;2,674;128;4.6
CN0504100000000;05;041;Desha County, AR;2019;5,360;5,125;235;4.4
CN0504300000000;05;043;Drew County, AR;2019;7,763;7,366;397;5.1
CN0504500000000;05;045;Faulkner County, AR;2019;62,386;60,545;1,841;3.0
CN0504700000000;05;047;Franklin County, AR;2019;7,458;7,212;246;3.3
CN0504900000000;05;049;Fulton County, AR;2019;4,937;4,742;195;3.9
CN0505100000000;05;051;Garland County, AR;2019;41,108;39,601;1,507;3.7
CN0505300000000;05;053;Grant County, AR;2019;8,354;8,092;262;3.1
CN0505500000000;05;055;Greene County, AR;2019;19,882;19,200;682;3.4
CN0505700000000;05;057;Hempstead County, AR;2019;9,833;9,463;370;3.8
CN0505900000000;05;059;Hot Spring County, AR;2019;13,934;13,436;498;3.6
CN0506100000000;05;061;Howard County, AR;2019;5,639;5,458;181;3.2
CN0506300000000;05;063;Independence County, AR;2019;16,433;15,787;646;3.9
CN0506500000000;05;065;Izard County, AR;2019;4,863;4,601;262;5.4
CN0506700000000;05;067;Jackson County, AR;2019;5,761;5,391;370;6.4
CN0506900000000;05;069;Jefferson County, AR;2019;27,415;25,938;1,477;5.4
CN0507100000000;05;071;Johnson County, AR;2019;10,185;9,726;459;4.5
CN0507300000000;05;073;Lafayette County, AR;2019;2,436;2,325;111;4.6
CN0507500000000;05;075;Lawrence County, AR;2019;6,779;6,503;276;4.1
CN0507700000000;05;077;Lee County, AR;2019;2,798;2,674;124;4.4
CN0507900000000;05;079;Lincoln County, AR;2019;3,867;3,702;165;4.3
CN0508100000000;05;081;Little River County, AR;2019;5,478;5,246;232;4.2
CN0508300000000;05;083;Logan County, AR;2019;8,452;8,090;362;4.3
CN0508500000000;05;085;Lonoke County, AR;2019;33,964;32,882;1,082;3.2
CN0508700000000;05;087;Madison County, AR;2019;7,342;7,156;186;2.5
CN0508900000000;05;089;Marion County, AR;2019;6,607;6,346;261;4.0
CN0509100000000;05;091;Miller County, AR;2019;19,570;18,778;792;4.0
CN0509300000000;05;093;Mississippi County, AR;2019;17,226;16,360;866;5.0
CN0509500000000;05;095;Monroe County, AR;2019;2,729;2,614;115;4.2
CN0509700000000;05;097;Montgomery County, AR;2019;2,953;2,818;135;4.6
CN0509900000000;05;099;Nevada County, AR;2019;3,621;3,480;141;3.9
CN0510100000000;05;101;Newton County, AR;2019;3,292;3,178;114;3.5
CN0510300000000;05;103;Ouachita County, AR;2019;9,756;9,261;495;5.1
CN0510500000000;05;105;Perry County, AR;2019;4,273;4,101;172;4.0
CN0510700000000;05;107;Phillips County, AR;2019;6,304;5,935;369;5.9
CN0510900000000;05;109;Pike County, AR;2019;4,209;4,050;159;3.8
CN0511100000000;05;111;Poinsett County, AR;2019;9,944;9,605;339;3.4
CN0511300000000;05;113;Polk County, AR;2019;8,005;7,674;331;4.1
CN0511500000000;05;115;Pope County, AR;2019;28,801;27,581;1,220;4.2
CN0511700000000;05;117;Prairie County, AR;2019;3,578;3,426;152;4.2
CN0511900000000;05;119;Pulaski County, AR;2019;187,945;181,625;6,320;3.4
CN0512100000000;05;121;Randolph County, AR;2019;7,245;6,968;277;3.8
CN0512300000000;05;123;St. Francis County, AR;2019;8,119;7,707;412;5.1
CN0512500000000;05;125;Saline County, AR;2019;59,001;57,366;1,635;2.8
CN0512700000000;05;127;Scott County, AR;2019;4,291;4,148;143;3.3
CN0512900000000;05;129;Searcy County, AR;2019;2,882;2,753;129;4.5
CN0513100000000;05;131;Sebastian County, AR;2019;56,308;54,485;1,823;3.2
CN0513300000000;05;133;Sevier County, AR;2019;5,476;5,217;259;4.7
CN0513500000000;05;135;Sharp County, AR;2019;5,710;5,431;279;4.9
CN0513700000000;05;137;Stone County, AR;2019;4,695;4,476;219;4.7
CN0513900000000;05;139;Union County, AR;2019;15,652;14,845;807;5.2
CN0514100000000;05;141;Van Buren County, AR;2019;5,728;5,447;281;4.9
CN0514300000000;05;143;Washington County, AR;2019;123,833;120,822;3,011;2.4
CN0514500000000;05;145;White County, AR;2019;33,626;32,142;1,484;4.4
CN0514700000000;05;147;Woodruff County, AR;2019;2,744;2,603;141;5.1
CN0514900000000;05;149;Yell County, AR;2019;8,314;7,986;328;3.9
CN0600100000000;06;001;Alameda County, CA;2019;841,545;816,480;25,065;3.0
CN0600300000000;06;003;Alpine County, CA;2019;541;513;28;5.2
CN0600500000000;06;005;Amador County, CA;2019;14,808;14,228;580;3.9
CN0600700000000;06;007;Butte County, CA;2019;97,954;92,926;5,028;5.1
CN0600900000000;06;009;Calaveras County, CA;2019;21,320;20,500;820;3.8
CN0601100000000;06;011;Colusa County, CA;2019;10,972;9,556;1,416;12.9
CN0601300000000;06;013;Contra Costa County, CA;2019;559,971;542,514;17,457;3.1
CN0601500000000;06;015;Del Norte County, CA;2019;9,620;9,060;560;5.8
CN0601700000000;06;017;El Dorado County, CA;2019;92,172;88,897;3,275;3.6
CN0601900000000;06;019;Fresno County, CA;2019;450,560;417,614;32,946;7.3
CN0602100000000;06;021;Glenn County, CA;2019;12,987;12,183;804;6.2
CN0602300000000;06;023;Humboldt County, CA;2019;62,131;59,868;2,263;3.6
CN0602500000000;06;025;Imperial County, CA;2019;73,545;58,295;15,250;20.7
CN0602700000000;06;027;Inyo County, CA;2019;8,756;8,443;313;3.6
CN0602900000000;06;029;Kern County, CA;2019;388,164;357,719;30,445;7.8
CN0603100000000;06;031;Kings County, CA;2019;57,827;53,223;4,604;8.0
CN0603300000000;06;033;Lake County, CA;2019;29,014;27,526;1,488;5.1
CN0603500000000;06;035;Lassen County, CA;2019;9,718;9,265;453;4.7
CN0603700000000;06;037;Los Angeles County, CA;2019;5,148,584;4,917,685;230,899;4.5
CN0603900000000;06;039;Madera County, CA;2019;62,105;57,786;4,319;7.0
CN0604100000000;06;041;Marin County, CA;2019;138,636;135,397;3,239;2.3
CN0604300000000;06;043;Mariposa County, CA;2019;7,625;7,273;352;4.6
CN0604500000000;06;045;Mendocino County, CA;2019;38,672;37,119;1,553;4.0
CN0604700000000;06;047;Merced County, CA;2019;115,770;106,308;9,462;8.2
CN0604900000000;06;049;Modoc County, CA;2019;3,174;2,947;227;7.2
CN0605100000000;06;051;Mono County, CA;2019;8,507;8,189;318;3.7
CN0605300000000;06;053;Monterey County, CA;2019;221,206;207,232;13,974;6.3
CN0605500000000;06;055;Napa County, CA;2019;73,247;71,133;2,114;2.9
CN0605700000000;06;057;Nevada County, CA;2019;48,413;46,780;1,633;3.4
CN0605900000000;06;059;Orange County, CA;2019;1,613,889;1,568,367;45,522;2.8
CN0606100000000;06;061;Placer County, CA;2019;188,652;182,737;5,915;3.1
CN0606300000000;06;063;Plumas County, CA;2019;7,878;7,267;611;7.8
CN0606500000000;06;065;Riverside County, CA;2019;1,106,155;1,059,495;46,660;4.2
CN0606700000000;06;067;Sacramento County, CA;2019;710,495;684,047;26,448;3.7
CN0606900000000;06;069;San Benito County, CA;2019;32,269;30,655;1,614;5.0
CN0607100000000;06;071;San Bernardino County, CA;2019;965,429;928,052;37,377;3.9
CN0607300000000;06;073;San Diego County, CA;2019;1,580,775;1,529,389;51,386;3.3
CN0607500000000;06;075;San Francisco County/city, CA;2019;579,873;567,003;12,870;2.2
CN0607700000000;06;077;San Joaquin County, CA;2019;326,589;307,127;19,462;6.0
CN0607900000000;06;079;San Luis Obispo County, CA;2019;139,656;135,604;4,052;2.9
CN0608100000000;06;081;San Mateo County, CA;2019;456,569;447,097;9,472;2.1
CN0608300000000;06;083;Santa Barbara County, CA;2019;222,377;214,269;8,108;3.6
CN0608500000000;06;085;Santa Clara County, CA;2019;1,048,756;1,022,329;26,427;2.5
CN0608700000000;06;087;Santa Cruz County, CA;2019;141,151;134,197;6,954;4.9
CN0608900000000;06;089;Shasta County, CA;2019;72,851;69,347;3,504;4.8
CN0609100000000;06;091;Sierra County, CA;2019;1,327;1,256;71;5.4
CN0609300000000;06;093;Siskiyou County, CA;2019;17,162;16,039;1,123;6.5
CN0609500000000;06;095;Solano County, CA;2019;208,139;200,209;7,930;3.8
CN0609700000000;06;097;Sonoma County, CA;2019;257,219;250,217;7,002;2.7
CN0609900000000;06;099;Stanislaus County, CA;2019;242,511;227,694;14,817;6.1
CN0610100000000;06;101;Sutter County, CA;2019;45,471;42,097;3,374;7.4
CN0610300000000;06;103;Tehama County, CA;2019;25,558;24,111;1,447;5.7
CN0610500000000;06;105;Trinity County, CA;2019;4,645;4,388;257;5.5
CN0610700000000;06;107;Tulare County, CA;2019;202,129;182,357;19,772;9.8
CN0610900000000;06;109;Tuolumne County, CA;2019;20,938;19,981;957;4.6
CN0611100000000;06;111;Ventura County, CA;2019;421,539;406,175;15,364;3.6
CN0611300000000;06;113;Yolo County, CA;2019;107,973;103,472;4,501;4.2
CN0611500000000;06;115;Yuba County, CA;2019;29,746;27,913;1,833;6.2
CN0800100000000;08;001;Adams County, CO;2019;271,471;263,771;7,700;2.8
CN0800300000000;08;003;Alamosa County, CO;2019;8,431;8,144;287;3.4
CN0800500000000;08;005;Arapahoe County, CO;2019;362,272;352,834;9,438;2.6
CN0800700000000;08;007;Archuleta County, CO;2019;6,855;6,646;209;3.0
CN0800900000000;08;009;Baca County, CO;2019;2,141;2,106;35;1.6
CN0801100000000;08;011;Bent County, CO;2019;1,854;1,804;50;2.7
CN0801300000000;08;013;Boulder County, CO;2019;194,132;189,744;4,388;2.3
CN0801400000000;08;014;Broomfield County/city, CO;2019;40,197;39,243;954;2.4
CN0801500000000;08;015;Chaffee County, CO;2019;9,708;9,484;224;2.3
CN0801700000000;08;017;Cheyenne County, CO;2019;1,129;1,112;17;1.5
CN0801900000000;08;019;Clear Creek County, CO;2019;6,017;5,874;143;2.4
CN0802100000000;08;021;Conejos County, CO;2019;4,132;3,988;144;3.5
CN0802300000000;08;023;Costilla County, CO;2019;1,856;1,785;71;3.8
CN0802500000000;08;025;Crowley County, CO;2019;1,543;1,480;63;4.1
CN0802700000000;08;027;Custer County, CO;2019;2,048;1,988;60;2.9
CN0802900000000;08;029;Delta County, CO;2019;14,233;13,775;458;3.2
CN0803100000000;08;031;Denver County/city, CO;2019;416,928;406,093;10,835;2.6
CN0803300000000;08;033;Dolores County, CO;2019;1,138;1,105;33;2.9
CN0803500000000;08;035;Douglas County, CO;2019;196,044;191,546;4,498;2.3
CN0803700000000;08;037;Eagle County, CO;2019;36,371;35,578;793;2.2
CN0803900000000;08;039;Elbert County, CO;2019;15,218;14,898;320;2.1
CN0804100000000;08;041;El Paso County, CO;2019;338,553;327,803;10,750;3.2
CN0804300000000;08;043;Fremont County, CO;2019;14,947;14,285;662;4.4
CN0804500000000;08;045;Garfield County, CO;2019;32,389;31,542;847;2.6
CN0804700000000;08;047;Gilpin County, CO;2019;3,799;3,715;84;2.2
CN0804900000000;08;049;Grand County, CO;2019;9,789;9,586;203;2.1
CN0805100000000;08;051;Gunnison County, CO;2019;11,371;11,134;237;2.1
CN0805300000000;08;053;Hinsdale County, CO;2019;435;421;14;3.2
CN0805500000000;08;055;Huerfano County, CO;2019;2,511;2,372;139;5.5
CN0805700000000;08;057;Jackson County, CO;2019;974;952;22;2.3
CN0805900000000;08;059;Jefferson County, CO;2019;331,817;323,652;8,165;2.5
CN0806100000000;08;061;Kiowa County, CO;2019;949;935;14;1.5
CN0806300000000;08;063;Kit Carson County, CO;2019;4,288;4,219;69;1.6
CN0806500000000;08;065;Lake County, CO;2019;4,922;4,810;112;2.3
CN0806700000000;08;067;La Plata County, CO;2019;31,667;30,900;767;2.4
CN0806900000000;08;069;Larimer County, CO;2019;203,323;198,666;4,657;2.3
CN0807100000000;08;071;Las Animas County, CO;2019;6,490;6,244;246;3.8
CN0807300000000;08;073;Lincoln County, CO;2019;2,401;2,347;54;2.2
CN0807500000000;08;075;Logan County, CO;2019;11,058;10,800;258;2.3
CN0807700000000;08;077;Mesa County, CO;2019;75,480;72,982;2,498;3.3
CN0807900000000;08;079;Mineral County, CO;2019;516;504;12;2.3
CN0808100000000;08;081;Moffat County, CO;2019;7,346;7,105;241;3.3
CN0808300000000;08;083;Montezuma County, CO;2019;12,770;12,248;522;4.1
CN0808500000000;08;085;Montrose County, CO;2019;21,619;20,970;649;3.0
CN0808700000000;08;087;Morgan County, CO;2019;16,339;15,924;415;2.5
CN0808900000000;08;089;Otero County, CO;2019;8,247;7,922;325;3.9
CN0809100000000;08;091;Ouray County, CO;2019;2,421;2,352;69;2.9
CN0809300000000;08;093;Park County, CO;2019;11,181;10,913;268;2.4
CN0809500000000;08;095;Phillips County, CO;2019;2,581;2,541;40;1.5
CN0809700000000;08;097;Pitkin County, CO;2019;11,049;10,712;337;3.1
CN0809900000000;08;099;Prowers County, CO;2019;6,290;6,132;158;2.5
CN0810100000000;08;101;Pueblo County, CO;2019;75,282;72,314;2,968;3.9
CN0810300000000;08;103;Rio Blanco County, CO;2019;2,968;2,863;105;3.5
CN0810500000000;08;105;Rio Grande County, CO;2019;5,409;5,194;215;4.0
CN0810700000000;08;107;Routt County, CO;2019;16,194;15,854;340;2.1
CN0810900000000;08;109;Saguache County, CO;2019;3,518;3,381;137;3.9
CN0811100000000;08;111;San Juan County, CO;2019;552;536;16;2.9
CN0811300000000;08;113;San Miguel County, CO;2019;5,719;5,563;156;2.7
CN0811500000000;08;115;Sedgwick County, CO;2019;1,188;1,165;23;1.9
CN0811700000000;08;117;Summit County, CO;2019;22,796;22,399;397;1.7
CN0811900000000;08;119;Teller County, CO;2019;12,701;12,323;378;3.0
CN0812100000000;08;121;Washington County, CO;2019;2,955;2,899;56;1.9
CN0812300000000;08;123;Weld County, CO;2019;168,098;163,907;4,191;2.5
CN0812500000000;08;125;Yuma County, CO;2019;6,072;5,979;93;1.5
CN0900100000000;09;001;Fairfield County, CT;2019;484,390;467,358;17,032;3.5
CN0900300000000;09;003;Hartford County, CT;2019;488,517;470,248;18,269;3.7
CN0900500000000;09;005;Litchfield County, CT;2019;105,896;102,345;3,551;3.4
CN0900700000000;09;007;Middlesex County, CT;2019;94,813;91,894;2,919;3.1
CN0900900000000;09;009;New Haven County, CT;2019;467,050;449,421;17,629;3.8
CN0901100000000;09;011;New London County, CT;2019;138,480;133,653;4,827;3.5
CN0901300000000;09;013;Tolland County, CT;2019;87,998;85,230;2,768;3.1
CN0901500000000;09;015;Windham County, CT;2019;64,681;62,163;2,518;3.9
CN1000100000000;10;001;Kent County, DE;2019;78,762;75,632;3,130;4.0
CN1000300000000;10;003;New Castle County, DE;2019;299,369;289,006;10,363;3.5
CN1000500000000;10;005;Sussex County, DE;2019;107,742;103,901;3,841;3.6
